Study_ID,DOI,Journal,Publication_Year,Study_Design,First_Author_Affiliation_Country,Study_Data_Geography,Population,Cases_N,Controls_N,Total_N,Comparator,Clinical_Task,Cancer,Reference_Standard,Data_Family,Omics_Layer,Specimen,Platform,Raw_Features,Final_Features,SVM_Role,SVM_Kernel,SVM_Hyperparameters,Feature_Selection,Feature_Selection_Timing,Other_Models,Training_N,Internal_Validation_N,External_Validation_N,Validation_Method,Validation_Category,Split_Independence,Reported_Key_SVM_Performance,Best_Model,SVM_vs_Others,Calibration,Decision_Curve_or_Utility,Leakage_Overfitting_Concerns,Demographics_or_Fairness,Clinical_Comparator,Deployment_Status,Data_or_Code_Availability,Study_Notes,Evidence_Locations
S031,10.3390/diagnostics12020491,Diagnostics,2022,Single-center diagnostic case-control model-development study,Latvia,Latvia,54 morphologically confirmed gastric adenocarcinoma patients and 85 endoscopy-referred participants without gastric cancer,54,85,139,Patients without gastric cancer,Cancer detection,Gastric adenocarcinoma,Upper endoscopy with histologic confirmation; cancer cases enrolled before surgery,Sensor-derived data,Not conventional omics,Exhaled breath,"Modular point-of-care breath analyzer with 8 GNP, 8 analogue MOX, and 10 digital MOX sensors",Five common curve features per sensor plus cluster-taxonomy features,Variable by feature-selection and taxonomy method,One of several final classifiers,NR,NR,Information Gain; ReliefF; symmetrical uncertainty,Repeated within 1000 feature-selection/training/testing cycles; exact train-test split details NR,Naive Bayes; Random Forest,NR,NR,0,"Feature selection, model training, and testing repeated 1000 times within one cohort",Internal only,Single cohort; patient-level split proportion and independence not clearly reported,Cluster DTWARP-complete linkage with InfoGain: AUC=0.716; accuracy=0.7487; sensitivity=0.6073; specificity=0.8248,"Naive Bayes, not SVM, achieved overall accuracy up to 0.7781",Alternative model performed better,No,No,Unclear resampling scheme; feature selection repeated but split details are insufficient; no independent validation; modest sample size,Baseline participant characteristics reported; no demographic subgroup or fairness analysis,No formal comparison with endoscopy or clinical diagnostic pathway,Prototype point-of-care device with internal model evaluation only,Supplementary performance tables available; raw data and analysis code NR,"Sensor-derived electronic-nose study, not molecular omics. Use only in the omics-adjacent subgroup.",Methods PDF pp.3-8; Results PDF pp.8-14; Tables 1-3
S032,10.1039/d2mo00107a,Molecular Omics,2022,Single-center two-cohort case-control biomarker study,China,China,Cohort 1: 22 bladder cancer and 20 controls; cohort 2: 33 bladder cancer and 23 controls,55,43,98,Non-cancer controls,Cancer detection,Bladder cancer,Clinical/pathological diagnosis; detailed blinding NR,Molecular omics,Transcriptomics,Urinary sediment and urinary exosomes,RT-qPCR validation of candidate long non-coding RNAs,7,3,Primary final classifier,RBF,C=12; gamma=0.5,"Literature/TCGA candidate selection followed by cohort screening; final RMRP, UCA1, and MALAT1 panel",Biomarker selection preceded the reported LOOCV; final SVM appears to use pooled cohorts,No alternative classifier; conventional combined ROC panels also reported,98 pooled for LOOCV,NA,0,Leave-one-out cross-validation on the combined 98 subjects; separate cohort validated biomarkers but was not a locked external SVM test,Internal only,Both cohorts came from the same institution and period; SVM performance was not reported as independent cohort validation,AUC=0.875 (95% CI 0.799-0.942); accuracy=0.816; sensitivity=0.800; specificity=0.814 under LOOCV,Three-exosomal-lncRNA SVM,SVM was not directly compared,No,No,Small single-center cohorts; feature selection before LOOCV; pooling discovery and validation cohorts for SVM evaluation; no genuine external model validation,"Age, sex, and smoking characteristics were compared between groups; no subgroup performance or fairness analysis",Urinary cytology/clinical standard was discussed but not directly benchmarked as a predictive comparator,Internal validation only,Supplementary data reported; code NR,"The second cohort is not a genuine external SVM validation set. The study is diagnostic, although stage associations were also explored.",Methods PDF pp.2-5; Results PDF pp.5-8; Figure 7
S033,10.1016/j.ijbiomac.2022.06.102,International Journal of Biological Macromolecules,2022,Case-control diagnostic model with paired pre/postoperative prognosis component,China,China,30 healthy volunteers; 22 benign thyroid nodules; 27 PTC; plus 26 paired pre/postoperative PTC saliva samples,27,52,79,Healthy and benign controls,Diagnostic and prognostic,Papillary thyroid cancer,Surgery/pathology implied for nodular thyroid disease,Molecular omics,Glycomics,Saliva,Lectin microarray,Lectin glycopatterns,Salivary glycopatterns recognized by selected lectins,One of several final classifiers,NR,NR,NR,Timing unclear,KNN; MLP; LR; RF,NR,NR,NA,Random 7:3 train-test split,Internal only,Patient/sample random split; no external cohort,Accuracy=0.92 [internal testing set],SVM; accuracy 0.92 testing set,SVM performed best,No,No,Small single-center sample; random split only; feature-selection/tuning unclear,Samples selected at same or similar age; no demographic subgroup performance,FNA discussed but not directly compared,Retrospective model development only,NR,Analyze prognosis/postoperative component separately.,Text abstract; Study approval/population; Sample classification
S034,10.1007/s12020-020-02523-x,Endocrine,2021,Single-center case-control platelet RNA-seq model-development study,China,China,"109 thyroid-neoplasm patients (32 adenoma, 41 papillary thyroid cancer, 36 metastatic papillary thyroid cancer) and 63 healthy controls",109,63,172,Healthy controls; thyroid adenoma and cancer subgroups for multiclass analysis,Cancer detection and cancer subtype classification,Thyroid neoplasm; papillary thyroid cancer,Biopsy/pathology-confirmed thyroid neoplasm; healthy controls,Molecular omics,Transcriptomics,Platelets,Platelet RNA sequencing,58302,"765 genes for binary classification; class-specific sets of 370, 854, and 1160 genes for multiclass classification",Primary final classifier,NR,Python SVM; one-vs-one multiclass strategy; tuning NR,Differential transcript analysis to identify genes with different transcript levels,Differential-feature discovery appears to have been performed before random train-validation splitting,None reported,103,69,0,Random 60/40 train-validation split repeated 1000 times; one representative split also reported,Internal only,Same single-center cohort; no external cohort,Binary validation: AUC=0.998 and accuracy=0.970 in one split; mean accuracy=0.965 over 1000 repeated 60/40 splits,Binary platelet RNA-seq SVM,SVM was not directly compared,No,No,Genome-wide differential feature selection appears global before splitting; near-perfect internal performance; no external validation,Baseline age/sex information reported; no subgroup performance or fairness analysis,No direct comparison with standard thyroid diagnostic tests,Internal validation only,RNA-seq data/code availability NR,Use the binary healthy-versus-neoplasm task in the main detection synthesis; report multiclass thyroid subtype results separately.,Methods and Results PDF pp.3-5 and pp.20-24; Figures 2 and 4
S035,10.1136/jitc-2021-003133,Journal for ImmunoTherapy of Cancer,2022,Small translational case-control study with a separate treatment-response arm,China,China,"Diagnostic cohort: 5 healthy donors, 14 hepatic hemangioma controls, and 28 BCLC-A early HCC; additional early CRC and advanced HCC response cohorts; 62 unique participants overall",28,19,62,Healthy donors and benign hepatic hemangioma,Multiple tasks,Early-stage hepatocellular carcinoma,Clinical/pathologic HCC diagnosis and BCLC staging; treatment response by clinical criteria,Molecular omics,Immunomics,Peripheral blood mononuclear cells,Single-cell mass cytometry (CyTOF),"28 detailed immune-cell clusters/subsets identified across B, NK, and T cells",NR,Component of ensemble or hybrid model,RBF,C=2; gamma=0.095; AdaBoost n_estimators=50; learning_rate=0.3,Immune-subset profiling and model-based selection; SMOTE applied to training data,Immune-feature discovery was performed in the small diagnostic cohort; exact nesting within splitting unclear,AFP clinical biomarker comparator,31,16,0,60/40 development split with SMOTE; reported final confusion matrix and ROC use all 47 diagnostic samples,Internal only,Same cohort; final reported performance is apparent all-cohort performance rather than a clean held-out estimate,AdaBoost-SVM apparent performance on 47 diagnostic subjects: AUC=0.992; accuracy=0.915; sensitivity=0.929; specificity=0.895,AdaBoost-SVM,SVM-based model outperformed the AFP comparator,No,No,Very small cohort; feature discovery/model development on same population; final metrics evaluated on all samples including training cases; no external validation,Very small cohorts and no demographic subgroup/fairness analysis,Serum AFP,Internal model-development study only,Data/code availability NR,Include only the early-HCC diagnostic task in the main synthesis. Analyze anti-PD-1 response separately and do not pool it with detection.,Methods and Results PDF pp.2-8; Figure 3
S036,10.1016/j.compbiomed.2022.105409,Computers in Biology and Medicine,2022,Secondary analysis of TCGA colon adenocarcinoma data,China,Public TCGA dataset,480 colon adenocarcinoma tumors and 41 normal controls; additional stage-specific subsets,480,41,521,Normal tissue; different stage groups,Multiple tasks,Colon adenocarcinoma,TCGA diagnostic and stage labels,Molecular omics,Transcriptomics,Colon tissue RNA-seq data,TCGA RNA-seq expression matrix,13970,"289 genes for diagnosis; 134, 151, and 189 genes for three stage tasks",One of several final classifiers,RBF,RBF SVM; exact C/gamma NR,"Differential expression, WGCNA, and LASSO",Feature discovery appears to have used each full task dataset before random splitting,Random Forest; Decision Tree,70% of each task dataset,30% of each task dataset,0,Random 70/30 train-test split with SMOTE on training data; results averaged over ten runs/cross-validation,Internal only,Random sample-level split within TCGA; no independent dataset,Diagnosis: AUC=0.9967; accuracy=0.9846; sensitivity=0.9692; specificity=0.9894; precision=0.9450; F1=0.9529,"Random Forest achieved higher diagnostic performance, including AUC=1.00",Alternative model performed better,No,No,Full-dataset feature selection before splitting; severe case-control imbalance; repeated internal splits only; no external validation,Demographics not analyzed; no subgroup/fairness assessment,No clinical benchmark,Retrospective public-data model development,TCGA data publicly available; code NR,Use cancer-versus-normal results in the detection synthesis; stage-classification results require a separate subgroup. SVM is not the best model.,Methods PDF pp.2-5; Results PDF pp.5-8; Tables 3-4
S037,10.1016/j.clon.2023.06.014,Clinical Oncology,2023,Diagnostic model development with random train-validation split,China,China,243 ESCC patients and 243 healthy controls,243,243,486,Healthy controls,Cancer detection,Esophageal squamous cell carcinoma,NR in abstract,Molecular omics,Proteomics,Serum,Proteome microarray; GEO; ELISA,14 candidate TAAs,p53; SLC2A1; GNA11; MMP1 in optimal logistic model,One of several final classifiers,NR,NR,Proteome microarray and GEO bioinformatics screening,Unclear,Logistic regression; recursive partition analysis,324,162,NA,Random 2:1 train-validation split,Internal only,Random split from same sample source,NR,Logistic regression with four anti-TAA autoantibodies; validation sensitivity 0.679 and specificity 0.679; early-stage AUC 0.85,Alternative model performed better,NR,NR,SVM-specific performance not reported; no external validation; feature-selection pipeline details not fully available from abstract,NR,NR,Retrospective model development only,NR,Do not include in quantitative SVM performance synthesis unless full text provides SVM results.,PMID 37433700 abstract
S038,NR,Analytica Chimica Acta,2024,Case-control spectroscopy model development,China,China,60 liver cancer patients; 40 healthy volunteers,60,40,100,Healthy controls,Cancer stage classification,Liver cancer,NR in available text,Spectroscopy-derived data,Not conventional omics,Serum low-abundance proteins,SERS; PCA-LDA; PLS-SVM,SERS spectra,SERS profiles after low-abundance protein extraction,One of several final classifiers,NR,PLS-SVM; details NR,PCA/PLS dimensionality reduction,Unclear,PCA-LDA,NR,NR,NA,Unknown testing set from same study,Internal only,Unknown testing set; no external cohort,PLS-SVM accuracy=0.875 [unknown internal testing set],PCA-LDA accuracies 0.985 and 1.00 for early/advanced liver cancer vs healthy; PLS-SVM accuracy 0.875 in testing set,Insufficient information,No,No,Small sample; unknown split; spectroscopy preprocessing and model selection details limited,NR,NR,Retrospective model development only,NR,"Spectroscopy-derived subgroup, not conventional omics.",Text abstract; Collection of human serum samples; Conclusion
S039,10.1039/c3an00245d,Analyst,2013,Multicenter proof-of-concept case-control diagnostic study,France,France,37 cirrhotic patients with HCC and 34 cirrhotic patients without HCC,37,34,71,Cirrhosis without HCC,Differential diagnosis,Hepatocellular carcinoma,HCC diagnosed according to EASL criteria; cirrhosis clinically/histologically established,Spectroscopy-derived data,Not conventional omics,Serum,Micro-Raman spectroscopy of dried and freeze-dried serum,1013,"Variable principal-component subsets, including up to 31 selected PCs",Primary final classifier,NR,LIBSVM; exact parameters NR,"Spectral preprocessing, PCA, and selection of discriminating principal components",PCA/discriminating PC selection appears to precede patient-level LOOCV; exact nesting unclear,PCA exploratory analysis,NA,NA,0,"Patient-level leave-one-out cross-validation, retaining replicate spectra from a patient within the held-out unit",Internal only,Patient-level LOOCV within the same 71-patient cohort,Freeze-dried serum using all spectra: accuracy=0.9155; sensitivity=0.9459; specificity=0.8824; AUC NR,PCA-SVM on freeze-dried serum spectra,SVM was not directly compared with another predictive classifier,No,No,Small proof-of-concept cohort; possible preprocessing/PC-selection optimism; no external validation,Age and sex characteristics reported; no subgroup or fairness performance analysis,AFP and standard surveillance discussed but not directly modeled as a comparator,Proof-of-concept internal validation only,Data and code NR,"Spectroscopy-derived, omics-adjacent input. Keep separate from molecular-omics studies.",Methods PDF pp.2-5; Results PDF pp.5-7; Tables 2-3
S040,10.3389/fendo.2023.1099703,Frontiers in Endocrinology,2023,Secondary analysis of pooled public serum-miRNA GEO datasets,China,Public international GEO datasets,"16,902 serum samples across 12 tumor types: 6,607 tumor and 10,295 non-tumor samples",6607,10295,16902,Non-tumor controls,Cancer detection and early detection or screening,Twelve cancer types,Public GEO sample labels,Molecular omics,Transcriptomics,Serum,3D-Gene Human miRNA microarray; pooled GEO datasets,104,14,Primary final classifier,Nonlinear SVM; exact kernel NR,C=10; gamma=0.1 selected by 10-fold cross-validation,Differential expression and LASSO selection of m5C-related miRNAs,Feature selection was described in the training cohort; ComBat batch correction was applied to pooled data before random splitting,No directly evaluated alternative classifier,8491,8411,0,Random 1:1 train-test split across pooled GEO samples; 10-fold CV for tuning; a claimed external cohort was sampled from the combined data,Internal only,"Random sample split across pooled datasets; no dataset-level, institution-level, temporal, or country-level external validation",Held-out test: AUC=0.934 (95% CI 0.927-0.941); accuracy=0.870; sensitivity=0.828; specificity=0.896,Fourteen-miRNA SVM signature,SVM was not directly compared,No,Decision-curve analysis reported,ComBat across pooled data before split; random sample split allows dataset overlap; claimed external cohort is not independent; no true external validation,"Model score was reported as unrelated to sex and weakly related to age, but no stratified diagnostic-performance or fairness analysis was performed",No standard clinical biomarker or physician comparator,Retrospective public-data internal validation only,GEO accessions and supplementary code reported,The “external validation cohort” is drawn from the combined development/testing data and must not be counted as external validation.,Methods PDF pp.2-4; Results PDF pp.4-6; Figures 2-3
S041,10.1515/cclm-2022-0715,Clinical Chemistry and Laboratory Medicine,2022,Single-center two-cohort case-control diagnostic study,China,China,"Discovery cohort: 35 healthy volunteers, 40 hepatic-cirrhosis patients, 43 HCC patients; validation cohort: 31 healthy, 28 cirrhosis, 26 HCC",69,134,203,Healthy volunteers and hepatic cirrhosis,Differential diagnosis,Hepatocellular carcinoma,Clinical/pathologic diagnosis by clinicians/pathologists; exact blinding NR,Molecular omics,Glycomics,Saliva,Lectin microarray profiling of salivary protein glycopatterns,37,SVM-RFE-selected lectin glycopatterns; exact number varies/NR,One of several final classifiers,NR,R e1071 SVM; tuning described; exact kernel/parameters NR,SVM-RFE; LASSO; Boruta depending on classifier,"Feature selection/model development in discovery cohort, then evaluation in a separate validation cohort",LASSO logistic model; Random Forest,118,85,0,Separate 85-sample validation cohort from the same study setting; independence by institution or time not documented,Internal only,"Separate cohort, but no evidence of geographic, institutional, or temporal independence sufficient for external validation",Validation SVM-HCC: AUC=0.857 (95% CI 0.769-0.944); accuracy=0.812; sensitivity=0.846; specificity=0.797,"Random Forest performed better in the validation cohort, including HCC AUC=0.886",Alternative model performed better,No,No,Small discovery cohort and multiple feature/model searches; same-setting validation; no independent external validation,Baseline demographic/clinical characteristics reported; no subgroup or fairness performance analysis,Healthy and cirrhosis disease-control groups; no formal standard-test comparator,Internal validation only,Supplementary glycopattern/model information reported; code NR,"This is single-layer glycomics, not multi-omics. Count the same-setting validation cohort as internal under the review’s strict definition.",Methods PDF pp.2-5; Results PDF pp.5-8; Table 3 and Figure 4
S042,10.1021/acssensors.3c01995,ACS Sensors,2024,Method-development biomarker discovery study,Canada,Canada,"Plasma EVs from umbilical cord blood, healthy donors, pooled benign gynecologic ailments (n=6), and early-stage HGSC donors; full N not available in abstract",NR,NR,NR,Healthy and benign controls,Early detection or screening,Early-stage high-grade serous ovarian carcinoma,NR in abstract,Mixed data,Not conventional omics,Plasma extracellular vesicles,Size-exclusion chromatography; SERS; MS; atomic force microscopy,SERS spectra and MS features,EV diagnostic signatures; exact features NR,One of several final classifiers,NR,NR,NR,Unclear,PCA; logistic regression; naive Bayes; random forest; neural network; kNN,NR,NR,NR,NR in abstract,Unclear,Unclear,NR,"NR; available S1 mentions accuracy 0.929, specificity 0.880 and precision 0.929 but model identity is unclear",Insufficient information,NR,NR,Abstract-only; small/pooled cohorts; validation and model identity unclear,NR,NR,Retrospective model development only,NR,Do not use in quantitative synthesis without full text.,PubMed abstract only
S043,10.1186/s13062-022-00342-w,Biology Direct,2022,Secondary analysis of TCGA colorectal-cancer RNA-seq data,China,Public TCGA dataset,689 colorectal tumor/normal samples randomly divided into training and test sets,NR,NR,689,Normal colorectal tissue,Diagnostic and prognostic,Colorectal cancer,TCGA tumor/normal and survival labels,Molecular omics,Transcriptomics,Colorectal tissue,TCGA RNA sequencing,Genome-wide RNA-seq; 6819 differentially expressed genes reported,4,Primary final classifier,RBF implied by reported gamma; exact kernel not explicitly stated,C=23.2676; gamma=0.4498,"Differential expression, MEGENA/PPI prioritization, and survival screening; final DKC1, FLNA, CSE1L, NSUN5 signature",Feature discovery appears to use the full TCGA cohort before the random training-test split,Cox proportional-hazards prognostic risk model,482,207,0,Ten-fold cross-validation in training data plus a held-out random test subset from the same TCGA cohort,Internal only,Random same-dataset split; no independent external dataset,Held-out same-TCGA test AUC=0.9956; training cross-validation accuracy=0.9685,Four-gene SVM diagnostic signature,SVM was not directly compared with another diagnostic classifier,No,No,Global feature selection before splitting; near-perfect internal test AUC; no independent external validation,Demographic reporting and subgroup performance NR,No clinical diagnostic comparator,Retrospective internal public-data validation only,TCGA/cBioPortal data public; code NR,"The input is transcriptomic, not proteomic. Use only the diagnostic SVM component in the main synthesis; prognosis must be reported separately.",Methods and Results PDF pp.2-5; Figure 3
S045,10.1111/jgh.12545,Journal of Gastroenterology and Hepatology,2014,Single-center retrospective diagnostic case-control study,China,China,80 HBV-related hepatocellular carcinoma patients and 67 HBV-related liver-cirrhosis patients,80,67,147,HBV-related liver cirrhosis,Differential diagnosis,Hepatocellular carcinoma,"Clinical work-up including imaging, biochemistry, AFP and liver biopsy; exact adjudication details NR",Molecular omics,Proteomics,Serum,MALDI-TOF/TOF mass spectrometry,235,"Nine m/z peaks: 819, 1076, 1341, 2551, 3156, 3812, 4184, 4465, 4776",One of several final classifiers; also used for feature ranking,SMO implementation; kernel NR,NR,SVM-weight ranking of peptide peaks,Feature selection performed using the training set according to the study description,Multilayer perceptron; CART; AFP; MLP plus AFP,73,74,0,10-fold cross-validation on training data plus held-out same-center test set,Internal only,Random same-center train-test split; called independent by authors but not external,Held-out test: AUC=0.751; accuracy=0.757; sensitivity=0.825; specificity=0.676,MLP: AUC=0.909; accuracy=0.851; sensitivity=0.900; specificity=0.794,Alternative model performed better,No,No,Single-center random split; modest sample; feature-selection/model comparison; no external validation,Age and sex balanced between splits; no subgroup performance or fairness analysis,AFP and MLP+AFP were compared,Internal validation only,Supplementary tables available; code and raw spectra NR,The S1 outcome was dominated by MLP. SVM-specific metrics are substantially lower and must be reported separately.,Methods PDF pp.2-3; Results PDF pp.3-5; Figure 2; Table 2
S046,10.1186/s13046-016-0447-3,Journal of Experimental & Clinical Cancer Research,2016,Single-center retrospective diagnostic biomarker study with a separate validation sample set,China,China,Training: 100 thyroid cancers and 65 benign thyroid lesions; validation: 123 thyroid cancers and 81 benign lesions; discovery: 19 paired PTC/normal samples,223,146,369,Benign thyroid lesions,Differential diagnosis,Thyroid cancer and thyroid nodules,Postoperative histopathology reviewed by two pathologists,Molecular omics,Transcriptomics,Frozen thyroid tissue; small secondary FNAB set,Whole-transcriptome sequencing for discovery and RT-qPCR for final four-gene panel,Genome-wide transcriptome; 203 DEGs then 33 highly overexpressed genes and 12 candidates,FN1; GABRB2; NGEF; HMGA2,Primary final classifier,RBF,C-SVC; grid-searched C and gamma using LIBSVM 3.20,Differential-expression filtering and diagnostic-value screening,Discovery and panel selection performed before model training; validation set was separate,No alternative final classifier,165,NA,204,Separate independent validation sample set from the same hospital,External only,Distinct training and validation samples but same institution and tissue-based surgical spectrum,Validation: accuracy=0.917; sensitivity=0.927; specificity=0.901; PPV=0.934; NPV=0.890,Four-gene SVM panel,SVM was not directly compared,No,No,Feature discovery involved multiple filtering steps; same-center validation; surgical tissue spectrum limits intended preoperative use,"Chinese cohort; no subgroup performance by age, sex or subtype","Prior commercial molecular panels discussed, not tested head-to-head",External validation only; small FNAB feasibility set,Sequencing data/supplementary material reported; model code NR,"Validation is independent at the sample level but from the same institution. Main model uses transcript-expression measurements, not multi-omics.",Methods PDF pp.2-4; Results PDF pp.4-6; Figure 4
S048,10.1021/acssensors.2c00467,ACS Sensors,2022,Single-center diagnostic case-control sensor-development study,China,China,76 bladder-cancer patients and 18 healthy controls; additional postoperative-recurrence analysis,76,18,94,Healthy controls,Multiple tasks,Bladder cancer,Clinical/pathological diagnosis; detailed blinding NR,Sensor-derived data,Not conventional omics,Urine headspace volatile compounds,Polyaniline-based electronic-nose sensor array,Responses from sensor array; exact initial feature count NR,Four selected sensor features from S2 and S3,Primary final classifier,Nonlinear Gaussian,Optimized in repeated three-fold cross-validation; exact C/gamma NR,SVM-RFE after sensor clustering and feature extraction,Training set used for repeated model-selection cycles,No directly comparable final classifier,64,30,0,Repeated three-fold cross-validation on training data plus held-out same-cohort test,Internal only,Appears patient-level but only six healthy controls in test set; no external cohort,Held-out test: accuracy=0.9667; sensitivity=1.000; specificity=0.8333,Four-feature nonlinear SVM,SVM was not directly compared,No,No,Small control group and test set; extensive repeated optimization; no external validation,Clinical characteristics examined for sensor influence; no demographic fairness analysis,No direct comparison with cystoscopy or urine cytology,Prototype sensor with internal validation only,Supporting information available; raw data/code NR,Electronic-nose data are sensor-derived and should not be labeled omics. Stage-classification performance was poor and must be reported separately.,Methods PDF pp.4-7; Results PDF pp.7-9; Figure 6; Table 4
S050,10.1016/j.mehy.2020.109577,Medical Hypotheses,2020,Secondary analysis of three public microarray benchmark datasets,Turkey,Public datasets; original countries mixed/NR,Ovarian n=253; leukemia n=72; CNS n=60,Dataset-specific,Dataset-specific,385,Dataset-specific binary classes,Multiple cancer-classification tasks,Ovarian cancer; leukemia; central nervous system tumor,Public dataset labels,Molecular omics,Transcriptomics,Public tissue gene-expression datasets,Microarray gene-expression profiles,Ovarian 15154; leukemia 7129; CNS 7129,ReliefF reduced feature sets; exact counts included 36 for ovarian and dataset-specific reductions,One of several final classifiers and hybrid pipelines,Polynomial,Exact SVM parameters NR,ReliefF and stacked autoencoder dimensionality reduction,Timing relative to each random split is insufficiently reported,CNN; Bayes; kNN; Random Forest; Rotation Forest,"Varied across 60/40, 70/30 and 80/20 splits",Varied across the same splits,0,Three random train-test ratios on each public dataset,Internal only,Same small benchmark datasets repeatedly split; no independent external dataset,ReliefF-SVM mean accuracy: ovarian=0.9747; leukemia=0.9806; CNS=0.8072,ReliefF-CNN: ovarian=0.9860; leukemia=0.9986; CNS=0.8395,Alternative model performed better,No,No,"Tiny benchmark datasets, repeated split selection, unclear feature-selection nesting and no external validation",No participant-level demographic or fairness analysis,No clinical comparator,Retrospective benchmark model development,Public datasets; code NR,Report each dataset separately. The best method was ReliefF-CNN rather than SVM.,Methods PDF pp.3-6; Tables 8-10
S052,10.1016/j.cancergen.2020.12.007,Cancer Genetics,2021,Retrospective tissue methylation case-control biomarker study,Iran,Iran with public discovery datasets,41 colorectal-cancer FFPE tissues and 47 normal tissues,41,47,88,Normal colorectal tissue,Cancer detection,Colorectal cancer,Histopathologically characterized FFPE tissue,Molecular omics,Epigenomics,FFPE colorectal tissue,Targeted bisulfite sequencing discovery; MethyLight/HeavyMethyl validation,Genome-wide/public methylation candidates; five experimentally tested genes,SEPT9 and AKR1B1,Primary final classifier,NR,NR,SVM-RFE and repeated random 10-fold cross-validation,Eighty-percent model-development portion; details of nesting and independent-platform samples are unclear,Single-gene and multigene diagnostic tests,Approximately 70 (80%),Approximately 18 (20%),0,Repeated 10-fold CV on development data and held-out 20% test set,Internal only,Held-out subset from same 88-sample cohort; claimed independent-platform component lacks clear participant details,Held-out test: sensitivity=0.98; specificity=0.99; accuracy=0.98; AUC NR. Full-cohort ROC AUC=0.98,Two-gene SEPT9/AKR1B1 methylation discriminator,SVM was not directly compared,No,No,Small cohort; extensive marker selection; unclear nesting; ambiguous independence of platform-based testing,Clinical characteristics reported; no demographic subgroup performance,Individual methylation markers compared; no standard clinical test comparison,Internal validation only,Public datasets identified; code NR,The value 0.02 in the testing table appears to be error rather than AUC. Do not enter it as AUC; use the explicit full-cohort AUC=0.98 separately.,Methods PDF pp.3-4; Results PDF pp.5-7; Tables 4-6; Figure 2
S053,10.1039/d3an01259j,Analyst,2023,Single-center retrospective spectroscopy classification study,China,China,"93 gastric-cancer patients, 92 colorectal-cancer patients and 100 healthy controls",185,100,285,Healthy controls; cancer subtypes and stages,Multiple tasks,Gastric and colorectal cancer,Clinical/pathological diagnosis; details NR,Spectroscopy-derived data,Not conventional omics,Serum,Raman spectroscopy,Raman spectral points; 10 averaged spectra per participant,PCA-derived or raw spectral features depending model,One of several final classifiers,NR,NR,PCA dimensionality reduction in some experiments,Exact nesting relative to train/validation/test split unclear,kNN; LDA; GRU neural network,Approximately 80% by reported 4:1 split; exact patient count NR,Approximately 20%; exact patient count NR,0,"Internal 4:1 train-test split, further training-validation split, and five-fold CV",Internal only,"Split unit is unclear despite multiple spectra per participant, creating a serious patient-leakage concern",Cancer detection accuracy=1.00 for gastric versus healthy and colorectal versus healthy; AUC/sensitivity/specificity NR,SVM achieved perfect detection accuracy; GRU was generally superior for subtype/stage tasks,SVM was comparable for detection; alternative model better for some secondary tasks,No,No,Potential spectrum-level split across the same patients; perfect internal accuracy; unclear preprocessing nesting; no external validation,No subgroup/fairness analysis,No routine biomarker or clinician comparison,Internal validation only,Code repository reported; patient data unavailable for privacy,"This is Raman spectroscopy, not omics. The paper does not provide external validation despite prior classification in S1.",Methods PDF pp.3-5; Results PDF pp.5-7; Tables 3-4
S054,10.1016/j.gene.2015.03.008,Gene,2015,Secondary analysis of one discovery and six independent public microarray datasets,China,Public international GEO datasets,Discovery GSE32867 n=58 paired tumor/adjacent-normal samples; six validation datasets totaling n=222,Dataset-specific paired lung-cancer tissues,Matched adjacent normal tissues,280,Matched adjacent non-tumorous lung tissue,Cancer detection,Lung adenocarcinoma,Public dataset histologic labels,Molecular omics,Transcriptomics,Lung tumor and adjacent-normal tissue,Multiple gene-expression microarray platforms,48832 probes representing 38275 genes in discovery dataset,15-gene lung cancer-specific hub network,Primary final classifier,NR,e1071 R package; exact settings NR,WGCNA module detection and hub-network selection,Entire discovery dataset only; external datasets were held separate,None reported,58,NA,222,Locked classifier evaluated across six independent GEO datasets from different platforms/patients,External only,Independent datasets and platforms; small dataset sizes in several cohorts,External accuracies: 0.9848; 0.9167; 0.9762; 0.9800; 0.9675; 0.9167 across six datasets,15-gene LCHN SVM,SVM was not directly compared,No,No,"Discovery feature selection used a small dataset, but multiple genuinely independent validation datasets reduce optimism; only accuracy reported",No demographic/fairness analysis,No clinical comparator,External validation on public datasets,All datasets public in GEO; analysis code NR,This study provides genuine independent-dataset validation. The six external cohorts should remain separate in quantitative summaries.,Methods PDF pp.2-4; Results PDF pp.4-6; Table 3
