Study_ID,Cancer_or_Task,SVM_Model,Reported_Metric,Reported_Value,Reported_Confidence_Interval,Dataset_or_Cohort,Dataset_Level,Validation_Category,Evidence_Location,Notes
S036,Stage I versus II-III-IV,RBF SVM,Sensitivity,0.6353,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I versus II-III-IV,RBF SVM,F1,0.6302,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I versus II-III-IV,RBF SVM,Specificity,0.7872,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I versus II-III-IV,RBF SVM,AUC,0.6541,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,Accuracy,0.7111,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,Precision,0.4812,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,Sensitivity,0.4688,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,F1,0.4698,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,Specificity,0.7975,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S036,Stage I-II-III versus IV,RBF SVM,AUC,0.4937,,TCGA-COAD task dataset,Repeated internal train-test evaluation,Internal only,Tables 3-4,Random Forest performed better for the main diagnostic task.
S039,HCC versus cirrhosis,"PCA-SVM using freeze-dried serum, all spectra",Accuracy,0.9155,,71-patient cohort,Patient-level LOOCV,Internal only,Table 3,AUC not reported.
S039,HCC versus cirrhosis,"PCA-SVM using freeze-dried serum, all spectra",Sensitivity,0.9459,,71-patient cohort,Patient-level LOOCV,Internal only,Table 3,AUC not reported.
S039,HCC versus cirrhosis,"PCA-SVM using freeze-dried serum, all spectra",Specificity,0.8824,,71-patient cohort,Patient-level LOOCV,Internal only,Table 3,AUC not reported.
S040,Pan-cancer detection,Fourteen-miRNA SVM,AUC,0.977,0.974-0.979,Training n=8491,Training cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Specificity,0.922,,Training n=8491,Training cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Sensitivity,0.938,,Training n=8491,Training cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Accuracy,0.932,,Training n=8491,Training cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,AUC,0.934,0.927-0.941,Test n=8411,Internal held-out test,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Specificity,0.896,,Test n=8411,Internal held-out test,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Sensitivity,0.828,,Test n=8411,Internal held-out test,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Accuracy,0.87,,Test n=8411,Internal held-out test,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,AUC,0.965,0.963-0.968,All n=16902,Combined apparent cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Specificity,0.925,,All n=16902,Combined apparent cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Sensitivity,0.894,,All n=16902,Combined apparent cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,Pan-cancer detection,Fourteen-miRNA SVM,Accuracy,0.913,,All n=16902,Combined apparent cohort,Internal only,Figures 2-3; Results,Random sample split across pooled GEO datasets.
S040,HCC versus hepatitis/cirrhosis,Fourteen-miRNA SVM,AUC,0.996,,HCC subgroup,Internal subgroup,Internal only,Results,No independent cohort.
S040,HCC versus hepatitis/cirrhosis,Fourteen-miRNA SVM,Specificity,0.942,,HCC subgroup,Internal subgroup,Internal only,Results,No independent cohort.
S040,HCC versus hepatitis/cirrhosis,Fourteen-miRNA SVM,Sensitivity,0.998,,HCC subgroup,Internal subgroup,Internal only,Results,No independent cohort.
S040,HCC versus hepatitis/cirrhosis,Fourteen-miRNA SVM,Accuracy,0.986,,HCC subgroup,Internal subgroup,Internal only,Results,No independent cohort.
S040,Early-stage Bladder cancer detection,Fourteen-miRNA SVM,AUC,0.966,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S040,Early-stage Colorectal cancer detection,Fourteen-miRNA SVM,AUC,0.91,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S040,Early-stage Esophageal cancer detection,Fourteen-miRNA SVM,AUC,0.977,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S040,Early-stage Gastric cancer detection,Fourteen-miRNA SVM,AUC,0.983,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S040,Early-stage Ovarian cancer detection,Fourteen-miRNA SVM,AUC,0.963,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S040,Early-stage Prostate cancer detection,Fourteen-miRNA SVM,AUC,0.937,,Early-stage subgroup,Internal subgroup,Internal only,Results,Subgroup AUC only.
S041,Cirrhosis detection versus other groups,SVM-HC,AUC,0.988,0.934-0.998,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Accuracy,0.907,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Sensitivity,1,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Specificity,0.859,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,AUC,0.784,0.668-0.900,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Accuracy,0.741,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Sensitivity,0.75,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,Cirrhosis detection versus other groups,SVM-HC,Specificity,0.737,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,AUC,0.907,0.847-0.967,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Accuracy,0.89,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Sensitivity,0.86,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Specificity,0.907,,Discovery cohort n=118,Discovery internal,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,AUC,0.857,0.769-0.944,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Accuracy,0.812,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Sensitivity,0.846,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S041,HCC detection versus other groups,SVM-HCC,Specificity,0.797,,Validation cohort n=85,Same-setting validation,Internal only,Table 3; Figure 4,Random Forest performed better in validation.
S043,Colorectal cancer versus normal,Four-gene SVM,Accuracy,0.9685,,Training cohort n=482,Training 10-fold CV,Internal only,Results,
S043,Colorectal cancer versus normal,Four-gene SVM,AUC,0.9956,,Held-out same-TCGA test n=207,Internal held-out test,Internal only,Figure 3,Feature selection appears to have used the full cohort.
S045,HCC versus HBV cirrhosis,SMO/SVM,AUC,0.751,,Held-out same-center test n=74,Internal held-out test,Internal,Results; Figure 2,MLP performed better.
S045,HCC versus HBV cirrhosis,SMO/SVM,Accuracy,0.757,,Held-out same-center test n=74,Internal held-out test,Internal,Results; Figure 2,MLP performed better.
S045,HCC versus HBV cirrhosis,SMO/SVM,Sensitivity,0.825,,Held-out same-center test n=74,Internal held-out test,Internal,Results; Figure 2,MLP performed better.
S045,HCC versus HBV cirrhosis,SMO/SVM,Specificity,0.676,,Held-out same-center test n=74,Internal held-out test,Internal,Results; Figure 2,MLP performed better.
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Accuracy,0.958,,Training n=165,Training,Internal,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Sensitivity,0.97,,Training n=165,Training,Internal,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Specificity,0.938,,Training n=165,Training,Internal,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,PPV,0.96,,Training n=165,Training,Internal,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,NPV,0.953,,Training n=165,Training,Internal,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Accuracy,0.917,,Independent same-center validation n=204,External validation,External,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Sensitivity,0.927,,Independent same-center validation n=204,External validation,External,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,Specificity,0.901,,Independent same-center validation n=204,External validation,External,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,PPV,0.934,,Independent same-center validation n=204,External validation,External,Results; Figure 4,"Same institution, separate sample set."
S046,Malignant versus benign thyroid nodules,Four-gene SVM,NPV,0.89,,Independent same-center validation n=204,External validation,External,Results; Figure 4,"Same institution, separate sample set."
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Accuracy,0.9252,,Repeated training cross-validation,Internal cross-validation,Internal,Results,Mean repeated-CV result.
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Sensitivity,0.8608,,Repeated training cross-validation,Internal cross-validation,Internal,Results,Mean repeated-CV result.
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Specificity,0.8492,,Repeated training cross-validation,Internal cross-validation,Internal,Results,Mean repeated-CV result.
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Accuracy,0.9667,,Held-out test n=30,Internal held-out test,Internal,Table 4,Only six controls in test set.
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Sensitivity,1,,Held-out test n=30,Internal held-out test,Internal,Table 4,Only six controls in test set.
S048,Bladder cancer versus healthy,Nonlinear Gaussian SVM,Specificity,0.8333,,Held-out test n=30,Internal held-out test,Internal,Table 4,Only six controls in test set.
S048,Postoperative recurrence versus healthy,Nonlinear Gaussian SVM,AUC,0.99,,Secondary recurrence analysis,Internal secondary task,Internal,Figure 6,Separate secondary task.
S048,Postoperative recurrence versus healthy,Nonlinear Gaussian SVM,Accuracy,0.8889,,Secondary recurrence analysis,Internal secondary task,Internal,Figure 6,Separate secondary task.
S048,Postoperative recurrence versus healthy,Nonlinear Gaussian SVM,Sensitivity,0.9167,,Secondary recurrence analysis,Internal secondary task,Internal,Figure 6,Separate secondary task.
S048,Postoperative recurrence versus healthy,Nonlinear Gaussian SVM,Specificity,0.8333,,Secondary recurrence analysis,Internal secondary task,Internal,Figure 6,Separate secondary task.
S050,Ovarian cancer benchmark,SVM,Sensitivity,0.9589,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Ovarian cancer benchmark,SVM,Specificity,0.9526,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Ovarian cancer benchmark,SVM,Accuracy,0.956,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Ovarian cancer benchmark,ReliefF-SVM,Sensitivity,0.9781,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Ovarian cancer benchmark,ReliefF-SVM,Specificity,0.9716,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Ovarian cancer benchmark,ReliefF-SVM,Accuracy,0.9747,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,SVM,Sensitivity,0.9481,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,SVM,Specificity,0.9392,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,SVM,Accuracy,0.9437,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,ReliefF-SVM,Sensitivity,0.983,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,ReliefF-SVM,Specificity,0.9779,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,Leukemia benchmark,ReliefF-SVM,Accuracy,0.9806,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,SVM,Sensitivity,0.6162,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,SVM,Specificity,0.636,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,SVM,Accuracy,0.6251,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,ReliefF-SVM,Sensitivity,0.7995,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,ReliefF-SVM,Specificity,0.8147,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S050,CNS tumor benchmark,ReliefF-SVM,Accuracy,0.8072,,"Mean across 60/40, 70/30 and 80/20 splits",Internal random splits,Internal,Tables 8-10,CNN-based pipeline performed better.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,AUC,0.98,,All 88 samples,Apparent full-cohort,Internal,Table 4; Figure 2,Not an independent validation result.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Sensitivity,0.95,,All 88 samples,Apparent full-cohort,Internal,Table 4; Figure 2,Not an independent validation result.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Specificity,0.9,,All 88 samples,Apparent full-cohort,Internal,Table 4; Figure 2,Not an independent validation result.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Accuracy,0.926,,All 88 samples,Apparent full-cohort,Internal,Table 4; Figure 2,Not an independent validation result.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Sensitivity,0.98,,Held-out 20% test,Internal held-out test,Internal,Table 5,AUC was not clearly reported for the held-out test.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Specificity,0.99,,Held-out 20% test,Internal held-out test,Internal,Table 5,AUC was not clearly reported for the held-out test.
S052,Colorectal cancer versus normal tissue,SEPT9/AKR1B1 SVM,Accuracy,0.98,,Held-out 20% test,Internal held-out test,Internal,Table 5,AUC was not clearly reported for the held-out test.
S053,Gastric cancer versus healthy,SVM,Accuracy,1,,Internal test split,Internal held-out test,Internal,Tables 3-4,Multiple spectra per participant; split unit unclear.
S053,Colorectal cancer versus healthy,SVM,Accuracy,1,,Internal test split,Internal held-out test,Internal,Tables 3-4,Multiple spectra per participant; split unit unclear.
S053,Gastric differentiation classification,SVM,Accuracy,0.8098,,Internal test split,Internal held-out test,Internal,Tables 3-4,Multiple spectra per participant; split unit unclear.
S053,Gastric stage classification,SVM,Accuracy,0.7967,,Internal test split,Internal held-out test,Internal,Tables 3-4,Multiple spectra per participant; split unit unclear.
S053,Colorectal stage classification,SVM,Accuracy,0.8448,,Internal test split,Internal held-out test,Internal,Tables 3-4,Multiple spectra per participant; split unit unclear.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.8966,,GSE32867 discovery n=58,Training,Internal,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.9848,,GSE10072 n=33,External validation,External,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.9167,,GSE19804 n=60,External validation,External,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.9762,,GSE21933 n=21,External validation,External,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.98,,GSE27262 n=25,External validation,External,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.9675,,GSE40419 n=77,External validation,External,Table 3,External datasets used different platforms/patients.
S054,Lung adenocarcinoma versus adjacent normal,15-gene LCHN SVM,Accuracy,0.9167,,GSE37764 n=6,External validation,External,Table 3,External datasets used different platforms/patients.
S055,Acute leukemia versus healthy,26-peak Gaussian SVM,AUC,0.998,0.994-1.002,Held-out validation n=102,Internal held-out test,Internal,Results; Figure 2,"Random cohort split, not site-held-out external validation."
S055,Acute leukemia versus healthy,26-peak Gaussian SVM,Sensitivity,0.97,,Held-out validation n=102,Internal held-out test,Internal,Results; Figure 2,"Random cohort split, not site-held-out external validation."
S055,Acute leukemia versus healthy,26-peak Gaussian SVM,Specificity,1,,Held-out validation n=102,Internal held-out test,Internal,Results; Figure 2,"Random cohort split, not site-held-out external validation."
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,AUC,0.99,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,F1,0.99,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Precision,1,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Specificity,1,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Sensitivity,0.98,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Accuracy,0.99,,TCGA training n=470,Internal cross-validation,Internal,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,AUC,0.97,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,F1,0.93,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Precision,0.94,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Specificity,0.86,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Sensitivity,0.93,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S056,Stomach adenocarcinoma versus non-tumor,Eight-probe RBF SVM,Accuracy,0.91,,GSE30601 n=297,External validation,External,Table 2,External dataset was itself evaluated with 10-fold CV.
S057,PDAC marker screening,Weighted SVM,AUC,0.956,,Discovery cohort; miR-148a marker,LOOCV,Internal,Table 2,Representative marker-level result; not a single final model.
S057,PDAC marker screening,Weighted SVM,Balanced accuracy,0.927,,Discovery cohort; miR-148a marker,LOOCV,Internal,Table 2,Representative marker-level result.
S057,PDAC marker screening,Weighted SVM,Balanced accuracy,0.897,,GSE32688; miR-148a marker,Independent dataset SVM-LOOCV,External,Table 2,Independent data also contributed to marker filtering.
S058,Prostate cancer versus non-tumor,RBF SVM,AUC,0.9,SD 0.01,GSE6099 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S058,Prostate cancer versus non-tumor,RBF SVM,Accuracy,0.8907,SD 0.0522,GSE6099 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S058,Prostate cancer versus non-tumor,RBF SVM,AUC,0.89,SD 0.01,GSE6956 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S058,Prostate cancer versus non-tumor,RBF SVM,Accuracy,0.8588,SD 0.0579,GSE6956 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S058,Prostate cancer versus non-tumor,RBF SVM,AUC,0.93,SD 0.03,GSE21034 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S058,Prostate cancer versus non-tumor,RBF SVM,Accuracy,0.9271,SD 0.0682,GSE21034 repeated test splits,Internal held-out test,Internal,Results/Table,Mean over 100 random splits.
S059,GBM versus healthy,RBF SVM,Sensitivity,0.875,,Whole-serum ATR-FTIR; 24-patient blind test,Internal held-out test,Internal,Results,Patient-level result.
S059,GBM versus healthy,RBF SVM,Specificity,1,,Whole-serum ATR-FTIR; 24-patient blind test,Internal held-out test,Internal,Results,Patient-level result.
S059,GBM versus healthy,RBF SVM,Sensitivity,0.882,,Whole-serum ATR-FTIR blind spectra,Internal held-out test,Internal,Results,Spectrum-level result.
S059,GBM versus healthy,RBF SVM,Specificity,0.944,,Whole-serum ATR-FTIR blind spectra,Internal held-out test,Internal,Results,Spectrum-level result.
S059,GBM versus healthy,RBF SVM,Sensitivity,0.789,,10-kDa serum fraction; patient-level test,Internal held-out test,Internal,Results,Patient-level result.
S059,GBM versus healthy,RBF SVM,Specificity,0.889,,10-kDa serum fraction; patient-level test,Internal held-out test,Internal,Results,Patient-level result.
S061,Early lung-cancer screening,Bincount SVM,AUC,0.759,0.705-0.810,Validation cohort,External validation,External,Results/Figure 3,SVM-specific component.
S061,Early lung-cancer screening,End-motif SVM,AUC,0.815,0.770-0.859,Validation cohort,External validation,External,Results/Figure 3,SVM-specific component.
S061,Early lung-cancer screening,Protein-biomarker SVM,AUC,0.7,0.642-0.756,Validation cohort,External validation,External,Results/Figure 3,SVM-specific component.
S062,AFP-negative HCC versus non-HCC,SVM,AUC,0.61,0.527-0.684,Training cohort 5-fold CV,Cross-validation,Internal,Figure 3/Table,Logistic regression AUC 0.842 was better.
S062,AFP-negative HCC versus non-HCC,SVM,Sensitivity,0.9608,0.8969-0.9874,Training cohort 5-fold CV,Cross-validation,Internal,Table,Very low specificity.
S062,AFP-negative HCC versus non-HCC,SVM,Specificity,0.2889,0.2006-0.3955,Training cohort 5-fold CV,Cross-validation,Internal,Table,Very low specificity.
S063,NSCLC/asthma/healthy three-class task,RBF SVM,Accuracy,0.94,SE 0.012,Held-out test n=389,Internal held-out test,Internal,Table III,Three-class accuracy.
S063,NSCLC versus healthy,RBF SVM,Sensitivity,0.99,SE 0.004,Held-out test; all markers plus sex,Internal held-out test,Internal,Results/Table IV,Potential demographic confounding.
S063,NSCLC versus healthy,RBF SVM,Specificity,0.95,SE 0.013,Held-out test; all markers plus sex,Internal held-out test,Internal,Results/Table IV,Potential demographic confounding.
S063,NSCLC versus healthy; males,RBF SVM,Sensitivity,1,,Male test subgroup; all markers,Internal subgroup test,Internal,Table IV,Perfect subgroup result.
S063,NSCLC versus healthy; males,RBF SVM,Specificity,0.94,SE 0.018,Male test subgroup; all markers,Internal subgroup test,Internal,Table IV,Perfect sensitivity.
S063,NSCLC versus healthy; females,RBF SVM,Sensitivity,1,,Female test subgroup; all markers,Internal subgroup test,Internal,Table IV,Perfect subgroup result.
S063,NSCLC versus healthy; females,RBF SVM,Specificity,0.97,,Female test subgroup; all markers,Internal subgroup test,Internal,Table IV,Perfect sensitivity.
S064,Advanced neoplasm versus healthy,Radial SVM,AUC,0.79,0.723-0.841,Repeated 5-fold cross-validation,Cross-validation,Internal,Results,Primary less-biased estimate.
S064,Advanced neoplasm versus healthy,Radial SVM,AUC,0.92,0.871-0.962,Full model dataset,Apparent/full-data,Internal,Figure 2/Table 2,Apparent estimate; do not use as primary.
S064,Advanced neoplasm versus healthy,Radial SVM,Sensitivity,0.85,,Full model dataset,Apparent/full-data,Internal,Table 2,Apparent estimate.
S064,Advanced neoplasm versus healthy,Radial SVM,Specificity,0.9,,Full model dataset,Apparent/full-data,Internal,Table 2,Apparent estimate.
S064,CRC versus healthy,Radial SVM,AUC,0.95,0.903-0.991,Full model dataset,Apparent/full-data,Internal,Results/Table 2,Apparent estimate.
S064,Advanced adenoma versus healthy,Radial SVM,AUC,0.91,0.868-0.959,Full model dataset,Apparent/full-data,Internal,Results/Table 2,Apparent estimate.
S064,Advanced neoplasm versus healthy,Radial SVM,Brier score,0.116,,Full model dataset,Apparent/full-data,Internal,Figure 3,Calibration-related metric.
S065,Breast cancer versus controls,SVM BCExoC,AUC,0.83,0.77-0.88,Training cohort n=182,LOOCV,Internal,Results/Figure 4,SVM had largest AUC among compared models.
S065,Breast cancer versus controls,SVM BCExoC,Accuracy,0.83,,Training cohort n=182,LOOCV,Internal,Results/Figure 4,Training cross-validated result.
S065,Breast cancer versus controls,SVM BCExoC,AUC,0.8,0.71-0.89,Separate validation cohort n=77,Same-center validation,External,Results/Figure 4,Independent samples from same institution.
